ID Opération,Date,Service,Région,Canal,Demandes reçues,Demandes abouties,Échecs,Délai moyen (sec),Mois_Nom,Mois
OP0001,2026-03-20,Inscription en ligne,Kara,Guichet assisté,331,263,68,78.9,2026-03 (March),2026-03
OP0002,2026-06-25,Demande d'autorisation,Grand Lomé,Mobile,320,235,85,38.2,2026-06 (June),2026-06
OP0003,2026-02-16,Inscription en ligne,Maritime,Web,89,85,4,99.7,2026-02 (February),2026-02
OP0004,2026-06-17,Demande d'acte administratif,Savanes,Web,566,463,103,75.7,2026-06 (June),2026-06
OP0005,2026-09-05,Inscription en ligne,Centrale,Web,70,54,16,145.6,2026-09 (September),2026-09
OP0006,2026-03-23,Inscription en ligne,Kara,Mobile,468,380,88,113.0,2026-03 (March),2026-03
OP0007,2026-02-05,Inscription en ligne,Kara,Web,156,142,14,51.4,2026-02 (February),2026-02
OP0008,2026-01-29,Suivi de dossier,Kara,Guichet assisté,282,235,47,77.7,2026-01 (January),2026-01
OP0009,2026-04-27,Demande d'autorisation,Kara,Guichet assisté,337,270,67,159.4,2026-04 (April),2026-04
OP0010,2026-05-21,Demande d'autorisation,Plateaux,Web,575,448,127,177.6,2026-05 (May),2026-05
OP0011,2026-03-03,Suivi de dossier,Centrale,Guichet assisté,63,54,9,137.9,2026-03 (March),2026-03
OP0012,2026-09-02,Paiement de redevance,Savanes,Guichet assisté,218,167,51,85.3,2026-09 (September),2026-09
OP0013,2026-05-03,Demande d'acte administratif,Grand Lomé,Mobile,423,319,104,148.6,2026-05 (May),2026-05
OP0014,2026-02-13,Suivi de dossier,Kara,Mobile,107,80,27,25.9,2026-02 (February),2026-02
OP0015,2026-02-22,Paiement de redevance,Grand Lomé,Mobile,399,386,13,55.0,2026-02 (February),2026-02
OP0016,2026-04-23,Paiement de redevance,Maritime,Web,70,57,13,53.8,2026-04 (April),2026-04
OP0017,2026-08-05,Paiement de redevance,Kara,Mobile,96,89,7,179.2,2026-08 (August),2026-08
OP0018,2026-03-27,Suivi de dossier,Kara,Mobile,431,346,85,56.1,2026-03 (March),2026-03
OP0019,2026-05-14,Inscription en ligne,Kara,Web,165,120,45,73.7,2026-05 (May),2026-05
OP0020,2026-02-13,Suivi de dossier,Maritime,Mobile,404,380,24,130.7,2026-02 (February),2026-02
OP0021,2026-10-02,Inscription en ligne,Savanes,Web,305,273,32,161.4,2026-10 (October),2026-10
OP0022,2026-06-28,Inscription en ligne,Savanes,Guichet assisté,40,30,10,36.9,2026-06 (June),2026-06
OP0023,2026-01-14,Demande d'autorisation,Centrale,Web,373,339,34,114.0,2026-01 (January),2026-01
OP0024,2026-03-06,Paiement de redevance,Maritime,Mobile,251,224,27,121.7,2026-03 (March),2026-03
OP0025,2026-06-14,Demande d'autorisation,Maritime,Web,400,292,108,136.6,2026-06 (June),2026-06
OP0026,2026-05-17,Demande d'autorisation,Maritime,Mobile,281,261,20,45.2,2026-05 (May),2026-05
OP0027,2026-07-06,Prise de rendez-vous,Plateaux,Web,247,211,36,126.9,2026-07 (July),2026-07
OP0028,2026-03-14,Demande d'autorisation,Kara,Web,240,231,9,55.1,2026-03 (March),2026-03
OP0029,2026-06-14,Paiement de redevance,Kara,Web,53,47,6,44.6,2026-06 (June),2026-06
OP0030,2026-03-15,Paiement de redevance,Centrale,Web,262,222,40,107.2,2026-03 (March),2026-03
OP0031,2026-02-15,Paiement de redevance,Savanes,Web,585,548,37,64.4,2026-02 (February),2026-02
OP0032,2026-01-29,Suivi de dossier,Savanes,Guichet assisté,73,53,20,126.4,2026-01 (January),2026-01
OP0033,2026-02-20,Demande d'acte administratif,Grand Lomé,Mobile,315,278,37,88.4,2026-02 (February),2026-02
OP0034,2026-02-05,Demande d'acte administratif,Maritime,Mobile,43,35,8,32.7,2026-02 (February),2026-02
OP0035,2026-11-06,Demande d'autorisation,Plateaux,Mobile,209,168,41,86.0,2026-11 (November),2026-11
OP0036,2026-07-01,Prise de rendez-vous,Centrale,Mobile,182,168,14,128.6,2026-07 (July),2026-07
OP0037,2026-02-19,Inscription en ligne,Grand Lomé,Web,68,49,19,131.2,2026-02 (February),2026-02
OP0038,2026-11-04,Demande d'autorisation,Centrale,Web,493,467,26,32.4,2026-11 (November),2026-11
OP0039,2026-10-01,Demande d'acte administratif,Savanes,Web,370,319,51,148.9,2026-10 (October),2026-10
OP0040,2026-06-02,Suivi de dossier,Maritime,Mobile,255,217,38,90.3,2026-06 (June),2026-06
OP0041,2026-05-05,Demande d'acte administratif,Centrale,Web,336,251,85,73.0,2026-05 (May),2026-05
